
Date,Open,High,Low,Close,Adj Close,Volume
2025-02-07,232.51,234.00,228.20,229.12,229.12,19974910
2025-02-06,231.29,233.80,230.43,233.22,233.22,29836900
2025-02-05,228.53,232.67,228.27,232.47,232.47,39620300
2025-02-04,227.25,233.13,226.65,232.80,232.80,45067300
2025-02-03,229.99,231.83,225.70,228.01,228.01,73063300
2025-01-31,247.19,247.19,233.44,236.00,236.00,101075100
2025-01-30,238.67,240.79,237.21,237.59,237.59,55658300
2025-01-29,234.12,239.86,234.01,239.36,239.36,45486100
2025-01-28,230.85,240.19,230.81,238.26,238.26,75707600
2025-01-27,224.02,232.15,223.98,229.86,229.86,94863400
2025-01-24,224.78,225.63,221.41,222.78,222.78,54697900
2025-01-23,224.74,227.03,222.30,223.66,223.66,60234800
2025-01-22,219.79,224.12,219.79,223.83,223.83,64126500
2025-01-21,224.00,224.42,219.38,222.64,222.64,98070400
2025-01-17,232.12,232.29,228.48,229.98,229.98,68488300
2025-01-16,237.35,238.01,228.03,228.26,228.26,71759100
2025-01-15,234.64,238.96,234.43,237.87,237.87,39832000
2025-01-14,234.75,236.12,232.47,233.28,233.28,39435300
2025-01-13,233.53,234.67,229.72,234.40,234.40,49630700
2025-01-10,240.01,240.16,233.00,236.85,236.85,61710900
2025-01-08,241.92,243.71,240.05,242.70,242.70,37628900
2025-01-07,242.98,245.55,241.35,242.21,242.21,40856000
2025-01-06,244.31,247.33,243.20,245.00,245.00,45045600
2025-01-03,243.36,244.18,241.89,243.36,243.36,40244100
2025-01-02,248.93,249.10,241.82,243.85,243.85,55740700
2024-12-31,252.44,253.28,249.43,250.42,250.42,39480700
2024-12-30,252.23,253.50,250.75,252.20,252.20,35557500
2024-12-27,257.83,258.70,253.06,255.59,255.59,42355300
2024-12-26,258.19,260.10,257.63,259.02,259.02,27237100
2024-12-24,255.49,258.21,255.29,258.20,258.20,23234700
2024-12-23,254.77,255.65,253.45,255.27,255.27,40858800
2024-12-20,248.04,255.00,245.69,254.49,254.49,147495300
2024-12-19,247.50,252.00,247.09,249.79,249.79,60882300
2024-12-18,252.16,254.28,247.74,248.05,248.05,56774100
2024-12-17,250.08,253.83,249.78,253.48,253.48,51356400
2024-12-16,247.99,251.38,247.65,251.04,251.04,51694800
2024-12-13,247.82,249.29,246.24,248.13,248.13,33155300
2024-12-12,246.89,248.74,245.68,247.96,247.96,32777500
2024-12-11,247.96,250.80,246.26,246.49,246.49,45205800
2024-12-10,246.89,248.21,245.34,247.77,247.77,36914800
2024-12-09,241.83,247.24,241.75,246.75,246.75,44649200
2024-12-06,242.91,244.63,242.08,242.84,242.84,36870600
2024-12-05,243.99,244.54,242.13,243.04,243.04,40033900
2024-12-04,242.87,244.11,241.25,243.01,243.01,44383900
2024-12-03,239.81,242.76,238.90,242.65,242.65,38861000
2024-12-02,237.27,240.79,237.16,239.59,239.59,48137100
2024-11-29,234.81,237.81,233.97,237.33,237.33,28481400
2024-11-27,234.47,235.69,233.81,234.93,234.93,33498400
2024-11-26,233.33,235.57,233.33,235.06,235.06,45986200
2024-11-25,231.46,233.25,229.74,232.87,232.87,90152800
2024-11-22,228.06,230.72,228.06,229.87,229.87,38168300
2024-11-21,228.88,230.16,225.71,228.52,228.52,42108300
2024-11-20,228.06,229.93,225.89,229.00,229.00,35169600
2024-11-19,226.98,230.16,226.66,228.28,228.28,36211800
2024-11-18,225.25,229.74,225.17,228.02,228.02,44686000
2024-11-15,226.40,226.92,224.27,225.00,225.00,47923700
2024-11-14,225.02,228.87,225.00,228.22,228.22,44923900
2024-11-13,224.01,226.65,222.76,225.12,225.12,48566200
2024-11-12,224.55,225.59,223.36,224.23,224.23,40398300
2024-11-11,225.00,225.70,221.50,224.23,224.23,42005600
2024-11-08,0.25 Dividend
2024-11-08,227.17,228.66,226.41,226.96,226.96,38328800
2024-11-07,224.63,227.88,224.57,227.48,227.23,42137700
2024-11-06,222.61,226.07,221.19,222.72,222.48,54561100
2024-11-05,221.80,223.95,221.14,223.45,223.20,28111300
2024-11-04,220.99,222.79,219.71,222.01,221.77,44944500
2024-11-01,220.97,225.35,220.27,222.91,222.67,65276700
2024-10-31,229.34,229.83,225.37,225.91,225.66,64370100
2024-10-30,232.61,233.47,229.55,230.10,229.85,47070900
2024-10-29,233.10,234.33,232.32,233.67,233.41,35417200
2024-10-28,233.32,234.73,232.55,233.40,233.14,36087100
2024-10-25,229.74,233.22,229.57,231.41,231.16,38802300
2024-10-24,229.98,230.82,228.41,230.57,230.32,31109500
2024-10-23,234.08,235.14,227.76,230.76,230.51,52287000
2024-10-22,233.89,236.22,232.60,235.86,235.60,38846600
2024-10-21,234.45,236.85,234.45,236.48,236.22,36254500
2024-10-18,236.18,236.18,234.01,235.00,234.74,46431500
2024-10-17,233.43,233.85,230.52,232.15,231.89,32993800
2024-10-16,231.60,232.12,229.84,231.78,231.53,34082200
2024-10-15,233.61,237.49,232.37,233.85,233.59,64751400
2024-10-14,228.70,231.73,228.60,231.30,231.05,39882100
2024-10-11,229.30,229.41,227.34,227.55,227.30,31759200
2024-10-10,227.78,229.50,227.17,229.04,228.79,28183500
2024-10-09,225.23,229.75,224.83,229.54,229.29,33591100
2024-10-08,224.30,225.98,223.25,225.77,225.52,31855700
2024-10-07,224.50,225.69,221.33,221.69,221.45,39505400
2024-10-04,227.90,228.00,224.13,226.80,226.55,37245100
2024-10-03,225.14,226.81,223.32,225.67,225.42,34044200
2024-10-02,225.89,227.37,223.02,226.78,226.53,32880600
2024-10-01,229.52,229.65,223.74,226.21,225.96,63285000
2024-09-30,230.04,233.00,229.65,233.00,232.74,54541900
2024-09-27,228.46,229.52,227.30,227.79,227.54,34026000
2024-09-26,227.30,228.50,225.41,227.52,227.27,36636700
2024-09-25,224.93,227.29,224.02,226.37,226.12,42308700
2024-09-24,228.65,229.35,225.73,227.37,227.12,43556100
2024-09-23,227.34,229.45,225.81,226.47,226.22,54146000
2024-09-20,229.97,233.09,227.62,228.20,227.95,318679900
2024-09-19,224.99,229.82,224.63,228.87,228.62,66781300
2024-09-18,217.55,222.71,217.54,220.69,220.45,59894900
2024-09-17,215.75,216.90,214.50,216.79,216.55,45519300
2024-09-16,216.54,217.22,213.92,216.32,216.08,59357400
2024-09-13,223.58,224.04,221.91,222.50,222.26,36766600
2024-09-12,222.50,223.55,219.82,222.77,222.53,37498200
2024-09-11,221.46,223.09,217.89,222.66,222.42,44587100
2024-09-10,218.92,221.48,216.73,220.11,219.87,51591000
2024-09-09,220.82,221.27,216.71,220.91,220.67,67180000
2024-09-06,223.95,225.24,219.77,220.82,220.58,48423000
2024-09-05,221.63,225.48,221.52,222.38,222.14,36615400
2024-09-04,221.66,221.78,217.48,220.85,220.61,43840200
2024-09-03,228.55,229.00,221.17,222.77,222.53,50190600
2024-08-30,230.19,230.40,227.48,229.00,228.75,52990800
2024-08-29,230.10,232.92,228.88,229.79,229.54,51906300
2024-08-28,227.92,229.86,225.68,226.49,226.24,38052200
2024-08-27,226.00,228.85,224.89,228.03,227.78,35934600
2024-08-26,226.76,227.28,223.89,227.18,226.93,30602200
2024-08-23,225.66,228.22,224.33,226.84,226.59,38677300
2024-08-22,227.79,228.34,223.90,224.53,224.28,43695300
2024-08-21,226.52,227.98,225.05,226.40,226.15,34765500
2024-08-20,225.77,227.17,225.45,226.51,226.26,30299000
2024-08-19,225.72,225.99,223.04,225.89,225.64,40687800
2024-08-16,223.92,226.83,223.65,226.05,225.80,44340200
2024-08-15,224.60,225.35,222.76,224.72,224.47,46414000
2024-08-14,220.57,223.03,219.70,221.72,221.48,41960600
2024-08-13,219.01,221.89,219.01,221.27,221.03,44155300
2024-08-12,0.25 Dividend
2024-08-12,216.07,219.51,215.60,217.53,217.29,38028100
2024-08-09,212.10,216.78,211.97,216.24,215.75,42201600
2024-08-08,213.11,214.20,208.83,213.31,212.83,47161100
2024-08-07,206.90,213.64,206.39,209.82,209.35,63516400
2024-08-06,205.30,209.99,201.07,207.23,206.76,69660500
2024-08-05,199.09,213.50,196.00,209.27,208.80,119548600
2024-08-02,219.15,225.60,217.71,219.86,219.36,105568600
2024-08-01,224.37,224.48,217.02,218.36,217.87,62501000
2024-07-31,221.44,223.82,220.63,222.08,221.58,50036300
2024-07-30,219.19,220.33,216.12,218.80,218.31,41643800
2024-07-29,216.96,219.30,215.75,218.24,217.75,36311800
2024-07-26,218.70,219.49,216.01,217.96,217.47,41601300
2024-07-25,218.93,220.85,214.62,217.49,217.00,51391200
2024-07-24,224.00,224.80,217.13,218.54,218.05,61777600
2024-07-23,224.37,226.94,222.68,225.01,224.50,39960300
2024-07-22,227.01,227.78,223.09,223.96,223.46,48201800
2024-07-19,224.82,226.80,223.28,224.31,223.80,49151500
2024-07-18,230.28,230.44,222.27,224.18,223.67,66034600
2024-07-17,229.45,231.46,226.64,228.88,228.36,57345900
2024-07-16,235.00,236.27,232.33,234.82,234.29,43234300
2024-07-15,236.48,237.23,233.09,234.40,233.87,62631300
2024-07-12,228.92,232.64,228.68,230.54,230.02,53046500
2024-07-11,231.39,232.39,225.77,227.57,227.06,64710600
2024-07-10,229.30,233.08,229.25,232.98,232.45,62627700
2024-07-09,227.93,229.40,226.37,228.68,228.16,48076100
2024-07-08,227.09,227.85,223.25,227.82,227.31,59085900
2024-07-05,221.65,226.45,221.65,226.34,225.83,60412400
2024-07-03,220.00,221.55,219.03,221.55,221.05,37369800
2024-07-02,216.15,220.38,215.10,220.27,219.77,58046200
2024-07-01,212.09,217.51,211.92,216.75,216.26,60402900
2024-06-28,215.77,216.07,210.30,210.62,210.15,82542700
2024-06-27,214.69,215.74,212.35,214.10,213.62,49772700
2024-06-26,211.50,214.86,210.64,213.25,212.77,66213200
2024-06-25,209.15,211.38,208.61,209.07,208.60,56713900
2024-06-24,207.72,212.70,206.59,208.14,207.67,80727000
2024-06-21,210.39,211.89,207.11,207.49,207.02,246421400
2024-06-20,213.93,214.24,208.85,209.68,209.21,86172500
2024-06-18,217.59,218.63,213.00,214.29,213.81,79943300
2024-06-17,213.37,218.95,212.72,216.67,216.18,93728300
2024-06-14,213.85,215.17,211.30,212.49,212.01,70122700
2024-06-13,214.74,216.75,211.60,214.24,213.76,97862700
2024-06-12,207.37,220.20,206.90,213.07,212.59,198134300
2024-06-11,193.65,207.16,193.63,207.15,206.68,172373300
