Date,Open,High,Low,Close,Adj Close,Volume
2025-02-07,277.27,278.53,274.71,277.30,277.30,3586981
2025-02-06,272.45,276.98,271.19,276.90,276.90,7259100
2025-02-05,268.91,270.64,268.33,270.43,270.43,5704400
2025-02-04,269.84,269.84,266.83,267.94,267.94,5626000
2025-02-03,261.83,268.17,261.70,266.81,266.81,8381400
2025-01-31,269.23,270.82,266.96,267.30,267.30,7196300
2025-01-30,268.63,269.70,266.62,268.23,268.23,8753500
2025-01-29,267.21,270.68,265.61,266.58,266.58,7684900
2025-01-28,265.85,267.33,264.83,267.14,267.14,7375400
2025-01-27,264.17,265.97,262.26,265.85,265.85,7522300
2025-01-24,263.69,267.10,263.01,264.84,264.84,7666300
2025-01-23,264.69,266.86,263.81,265.95,265.95,10749700
2025-01-22,262.90,263.38,260.25,262.84,262.84,9021900
2025-01-21,260.07,264.25,259.50,263.03,263.03,13712100
2025-01-17,254.14,260.62,252.14,259.16,259.16,17678100
2025-01-16,254.00,257.04,252.33,254.27,254.27,15292300
2025-01-15,250.40,253.67,243.68,252.35,252.35,18448500
2025-01-14,242.66,247.72,242.19,247.47,247.47,12407400
2025-01-13,239.67,244.54,239.00,244.21,244.21,10005300
2025-01-10,243.09,243.81,238.74,239.87,239.87,10256800
2025-01-08,242.75,244.25,240.50,243.13,243.13,8675300
2025-01-07,242.14,245.26,240.90,243.17,243.17,8753400
2025-01-06,1.25 Dividend
2025-01-06,243.70,245.69,240.58,240.85,240.85,9917800
2025-01-03,243.89,244.88,240.26,243.28,242.03,9491100
2025-01-02,240.92,243.28,239.45,240.00,238.77,9220900
2024-12-31,240.05,241.44,239.03,239.71,238.48,4871000
2024-12-30,238.77,240.84,237.11,239.32,238.09,5723800
2024-12-27,242.72,243.39,240.04,241.17,239.93,5730200
2024-12-26,241.43,243.26,240.79,243.14,241.89,4451800
2024-12-24,239.43,242.49,239.07,242.31,241.06,3729100
2024-12-23,236.07,238.62,234.88,238.39,237.17,8611500
2024-12-20,231.92,239.21,231.59,237.60,236.38,32348400
2024-12-19,232.27,236.36,232.27,232.96,231.76,11790800
2024-12-18,239.00,239.07,229.53,230.37,229.19,11322400
2024-12-17,238.65,239.02,236.63,238.36,237.14,8083600
2024-12-16,240.61,240.67,237.52,239.58,238.35,9032000
2024-12-13,242.07,242.72,239.14,239.94,238.71,10392700
2024-12-12,243.00,244.10,241.04,241.53,240.29,6113800
2024-12-11,244.00,244.27,242.18,243.53,242.28,7884400
2024-12-10,243.89,247.96,242.22,242.86,241.61,9108300
2024-12-09,247.13,247.87,243.76,243.81,242.56,7076500
2024-12-06,245.70,247.74,244.84,247.36,246.09,5519700
2024-12-05,245.39,247.18,244.62,245.48,244.22,6572500
2024-12-04,244.70,245.35,242.23,243.40,242.15,7346300
2024-12-03,248.23,249.04,244.63,244.82,243.56,6657700
2024-12-02,249.55,250.25,245.03,246.25,244.98,8899700
2024-11-29,249.86,251.77,249.45,249.72,248.44,5494800
2024-11-27,249.35,251.19,248.77,249.79,248.51,5472300
2024-11-26,250.49,251.00,248.34,249.97,248.69,6212100
2024-11-25,249.59,254.31,249.06,250.29,249.00,10295400
2024-11-22,243.61,249.15,243.03,248.55,247.27,7997300
2024-11-21,243.23,245.49,242.11,244.76,243.50,8783500
2024-11-20,244.40,244.61,238.64,240.78,239.54,9015300
2024-11-19,242.25,245.15,241.55,243.09,241.84,6792700
2024-11-18,247.76,247.93,242.68,245.03,243.77,9052600
2024-11-15,241.46,246.42,241.46,245.31,244.05,11518800
2024-11-14,242.42,244.29,241.05,241.87,240.63,10172200
2024-11-13,240.58,244.09,240.31,241.16,239.92,11472600
2024-11-12,240.55,241.46,238.76,239.56,238.33,6861000
2024-11-11,240.00,242.10,239.00,239.29,238.06,9017100
2024-11-08,239.34,239.34,235.78,236.98,235.76,9502100
2024-11-07,244.50,244.57,235.22,236.38,235.17,16451100
2024-11-06,235.00,248.00,234.77,247.06,245.79,23987800
2024-11-05,220.03,221.96,220.00,221.49,220.35,5600700
2024-11-04,222.65,223.76,219.17,219.78,218.65,8229600
2024-11-01,223.56,226.15,222.70,222.94,221.79,6923500
2024-10-31,224.70,225.69,221.82,221.92,220.78,7829900
2024-10-30,222.54,226.31,221.58,224.41,223.26,7110900
2024-10-29,225.21,226.75,222.81,222.90,221.75,6580000
2024-10-28,223.35,225.64,222.95,225.50,224.34,6843000
2024-10-25,225.00,225.62,220.88,222.31,221.17,6369700
2024-10-24,221.83,225.06,221.66,224.98,223.82,6002200
2024-10-23,223.66,224.80,222.53,223.41,222.26,6180500
2024-10-22,223.02,225.28,221.10,224.12,222.97,9586800
2024-10-21,225.22,225.70,222.90,223.00,221.85,5870000
2024-10-18,225.00,225.92,223.10,225.37,224.21,7000500
2024-10-17,224.27,225.85,223.31,224.42,223.27,6470200
2024-10-16,222.33,223.68,221.04,223.64,222.49,6382500
2024-10-15,223.66,225.45,221.82,222.39,221.25,9235800
2024-10-14,223.20,223.70,218.88,221.48,220.34,9048900
2024-10-11,215.67,224.63,215.16,222.29,221.15,18320700
2024-10-10,214.81,214.81,211.47,212.84,211.75,7927100
2024-10-09,209.70,214.24,209.38,213.42,212.32,7024000
2024-10-08,210.58,211.33,208.38,210.75,209.67,6021800
2024-10-07,211.03,213.33,209.69,210.93,209.85,6718900
2024-10-04,1.25 Dividend
2024-10-04,209.30,211.67,206.91,211.22,210.13,10211700
2024-10-03,206.17,206.49,204.34,205.23,202.93,7251300
2024-10-02,207.08,208.95,205.69,207.29,204.97,5810900
2024-10-01,208.90,209.09,206.19,207.04,204.72,8540100
2024-09-30,206.31,210.96,205.26,210.86,208.50,8663800
2024-09-27,210.65,212.44,209.33,210.50,208.14,7032500
2024-09-26,211.13,211.70,209.01,209.78,207.43,7807500
2024-09-25,211.68,212.24,208.61,210.19,207.84,8976500
2024-09-24,211.15,212.95,210.37,211.59,209.22,7323200
2024-09-23,211.00,211.80,209.99,211.44,209.07,7223500
2024-09-20,209.93,211.42,209.50,211.09,208.73,20885000
2024-09-19,209.78,211.91,207.34,210.48,208.12,11635200
2024-09-18,209.01,211.34,206.70,207.53,205.21,8259900
2024-09-17,207.73,209.93,207.66,209.25,206.91,7573300
2024-09-16,205.83,208.21,205.59,207.86,205.53,8634900
2024-09-13,206.86,207.85,203.02,204.32,202.03,10226700
2024-09-12,207.65,208.78,204.89,206.60,204.29,9055800
2024-09-11,205.25,207.70,201.83,207.23,204.91,13658700
2024-09-10,218.60,218.64,200.61,205.56,203.26,28406900
2024-09-09,215.19,218.15,214.18,216.81,214.38,8935100
2024-09-06,217.60,218.74,211.09,212.46,210.08,7777000
2024-09-05,220.15,220.80,216.03,217.63,215.19,8067900
2024-09-04,221.04,222.07,217.21,219.33,216.87,7389500
2024-09-03,222.30,224.10,219.24,220.30,217.83,8956100
2024-08-30,222.50,225.48,221.93,224.80,222.28,8574100
2024-08-29,222.15,222.98,218.94,222.21,219.72,6416100
2024-08-28,219.25,222.21,219.19,221.29,218.81,6506400
2024-08-27,219.51,220.42,219.19,220.18,217.71,5185200
2024-08-26,219.01,219.68,218.05,219.17,216.72,5105200
2024-08-23,217.60,219.19,216.50,218.31,215.87,7214000
2024-08-22,214.58,216.80,214.34,216.63,214.20,5247100
2024-08-21,214.43,215.00,212.84,214.60,212.20,5202300
2024-08-20,215.00,216.00,213.68,214.52,212.12,5640000
2024-08-19,214.00,215.53,213.82,215.45,213.04,6090800
2024-08-16,211.69,214.09,211.59,213.97,211.57,7931200
2024-08-15,213.00,213.89,211.10,211.55,209.18,7001000
2024-08-14,207.74,210.76,207.12,210.24,207.89,6999800
2024-08-13,207.73,208.09,205.40,207.94,205.61,6387800
2024-08-12,206.41,207.14,203.66,206.19,203.88,6936000
2024-08-09,203.47,206.47,202.90,205.80,203.50,5540200
2024-08-08,202.47,204.91,201.79,204.06,201.78,7761200
2024-08-07,203.51,205.75,200.20,200.40,198.16,9204400
2024-08-06,195.40,202.60,194.00,200.34,198.10,10605800
2024-08-05,194.05,196.17,190.90,194.90,192.72,13927000
2024-08-02,203.88,204.67,196.89,199.14,196.91,18041700
2024-08-01,213.20,213.83,206.38,207.96,205.63,10918600
2024-07-31,214.78,216.39,212.67,212.80,210.42,9071600
2024-07-30,213.23,215.79,212.96,215.19,212.78,8850700
2024-07-29,212.65,213.61,210.55,210.85,208.49,6533600
2024-07-26,209.24,213.16,208.62,212.24,209.86,8027800
2024-07-25,208.65,210.19,208.05,208.67,206.33,6403800
2024-07-24,209.55,212.03,208.07,208.59,206.25,7119000
2024-07-23,211.02,211.48,209.35,210.33,207.97,5557300
2024-07-22,210.46,212.17,209.71,210.28,207.93,7663200
2024-07-19,211.20,212.35,208.92,209.78,207.43,8095900
2024-07-18,215.63,216.64,209.24,209.98,207.63,12415100
2024-07-17,213.80,217.56,213.27,216.87,214.44,11572500
2024-07-16,210.00,213.74,208.08,213.62,211.23,11557000
2024-07-15,207.19,211.61,206.72,210.05,207.70,10719700
2024-07-12,204.00,207.45,202.10,204.94,202.65,15443400
2024-07-11,206.21,208.10,205.38,207.45,205.13,10658100
2024-07-10,206.14,207.97,205.58,207.80,205.47,8328500
2024-07-09,205.63,209.76,205.45,207.63,205.31,9058900
2024-07-08,205.04,206.90,203.97,205.17,202.87,8707000
2024-07-05,1.15 Dividend
2024-07-05,206.99,207.37,204.52,204.79,202.50,8093100
2024-07-03,209.55,210.38,207.65,208.69,205.22,5560900
2024-07-02,205.29,208.86,204.77,208.83,205.35,7802900
2024-07-01,202.84,207.09,202.66,205.45,202.03,10205800
2024-06-28,200.01,202.60,199.30,202.26,198.89,15307600
2024-06-27,197.44,199.86,196.90,199.17,195.85,7913500
2024-06-26,197.45,197.94,196.28,197.43,194.14,7758600
2024-06-25,198.09,200.07,197.74,198.07,194.77,6915900
2024-06-24,197.81,199.23,197.10,198.88,195.57,9785900
2024-06-21,196.71,197.17,194.22,196.30,193.03,20972500
2024-06-20,196.39,199.45,196.11,198.67,195.36,8731100
2024-06-18,194.60,197.96,194.13,197.00,193.72,9023000
2024-06-17,193.48,195.58,192.64,194.98,191.73,8725400
2024-06-14,191.45,194.86,191.42,193.78,190.55,6874000
2024-06-13,192.32,194.58,190.88,193.66,190.44,8587800
2024-06-12,196.00,196.72,191.31,191.53,188.34,12751300
2024-06-11,197.91,197.94,193.60,194.36,191.12,9235300
2024-06-10,199.24,200.84,198.44,199.61,196.29,6071200
2024-06-07,197.43,200.92,197.01,199.95,196.62,6964500
2024-06-06,197.26,198.02,195.33,196.91,193.63,7640300
2024-06-05,199.76,199.82,196.92,197.26,193.98,8351600
2024-06-04,200.16,201.98,198.28,199.16,195.84,6848300
2024-06-03,202.31,202.42,199.19,201.82,198.46,6444300
2024-05-31,199.30,203.30,198.35,202.63,199.26,14417900
2024-05-30,198.56,199.85,198.40,199.33,196.01,6829700
2024-05-29,198.00,198.99,196.89,198.11,194.81,6120000
2024-05-28,199.86,200.41,198.66,199.50,196.18,6910200
2024-05-24,197.75,200.76,197.56,200.71,197.37,7355400
2024-05-23,197.81,198.30,196.07,196.92,193.64,8069400
2024-05-22,199.00,200.94,197.69,198.31,195.01,9425300
2024-05-21,197.00,199.90,196.60,199.52,196.20,14420800
2024-05-20,204.39,205.88,195.40,195.58,192.32,17373300
2024-05-17,203.81,205.05,202.81,204.79,201.38,9260500
